Address,Zip,Likely_owner,Notes
12 S 23RD ST,19103,PHA,
1234 MARKET ST,19107,Philadelphia,
1401 JOHN F KENNEDY BLVD,19102-1610,Philadelphia,
1401 JOHN F KENNEDY BLVD,19107-1610,Philadelphia,
1234 MARKET ST 17TH FL ,19107,Philadelphia,
1218 N MARSHALL ST,19122,ABC Capital,
1401 JOHN F KENNEDY BLVD,19107,Philadelphia,
1234 MARKET ST,19107-3795,Philadelphia,
1234 MARKET STREET,19107,Philadelphia,
12339 ACADEMY RD,19154,Coldwell Banker Realty One,"Name of apt building, unsure if that is same as property mgr"
834 CHESTNUT ST,19107-5104,The Franklin Residences,
829 N 29TH ST ,19130,GNR Property Management,
1401 JOHN F KENNEDY BLVD,19102-1617,Philadelphia,"There are other tenants, it is unclear if Odin/Ordin owns it or is a tenant. Their website is bare & both spellings arose in searches"
1200 CALLOWHILL STREET ,19123,Possibly Odin or Ordin properties,"Name of condo building, unsure if that is same as property mgr- listing to sell condos is by Center City Condos"
530 S 2ND ST,19147-2403,Abbotts Square Condos,"""scattered sites management"""
3100 PENROSE FERRY RD,19145,PHA,
1401 JOHN F KENNEDY BLVD,19102,Philadelphia,Both list this address on their site
2220 FAIRMOUNT AVE ,19130,Spina and Co AND Allegiance Real Estate,
440 N BROAD ST,19130,School District of Philadelphia,Both list this address on their site
1234 MARKET ST 17TH FLR ,19107,Philadelphia Housing Development Corps AND Division of Housing and Community Development,no business website
7267 RISING SUN AVE ,19111,Possibly Urban Realty Corps,Difficult to find address with only PO box but this site seemed to list many properties with same PO box and owner: http://data.philly.com/philly/property/?formname=propQuery&page=1&owner=BLUE+PRINT+HOMES+LLC&oAdd=&oCity= 
PO BOX 29332,19125,Possibly Blueprint Homes LLC,"Located outside Philadelphia, unclear if owner or a lender? Hard to find with only PO box"
PO BOX 460,19480,Possibly Stonehedge Funding LLC,
5429 CHESTNUT ST STE M114,19139-3339,"Commercial space, Possibly Prime Property Management (Suite M114), building possibly owned by Corporate Realty Partners & Co.",no business website. Info @ http://data.philly.com/philly/property/?formname=propQuery&page=1&owner=METAL+CHESTNUT+INC&oAdd=&oCity=#
1218 GREEN ST ,19123,Possibly Metal Chestnut Inc.,
408 E 4TH ST,19405,The Berg Organization,
42 CAMBRIDGE RD,19041,listed as a single family home,
1434 HOPELAND RD,19095,listed as a single family home,
690 BELLEVUE AVE,19047,listed as a single family home,
4400 LANCASTER AVENUE ,19104,Giller Realty LLC,
1234 MARKET ST,19107-3721,Philadelphia,
426 S 44TH ST,19104,listed as a single family home,possibly a broker
25 S 19TH ST 2ND FL ,19103,Good Bet Trading LLC,
1708 WELSH RD,19115-4213,Lublin Corporation Realtors,Real estate sale listing by Delphi Property Group LLC
2824 COTTMAN AVE,19149,Commercial space (shopping center),
71 MORNING GLORY WAY ,19006,listed as a single family home,http://www.phillytaxassessment.com/property-detail.php?id=431167400
PO BOX 4402 ,19606,Possibly Hope Street Developers LLC,listed at this address in suite 305; not clear if owners/property mgr.
1250 GERMANTOWN PIKE,19462-2444,"Possibly ""Independent Mortgage Company"""," Multiple associated sites listed- Westminster, Belmont, and Girard affordable housing"
PO BOX 30735,19104,Possibly TJ Properties,Possibly associated with Judd Builders (may just be tenant)
1750 WALTON RD,19422-0465,Listed as office building,
CITY HALL,19107,Philadelphia,Walnut st. associates has main address elsewhere; just owns the building
1608 WALNUT ST,19103,Commercial high rise-owned by Walnut Street Associates,"""Philadelphia Mailroom"" comes up-maybe a mail delivery location?"
8001 CASTOR AVE,19152,"small commercial lot, several tenants",
1401 JOHN F KENNEDY BLVD,19102-1677,Philadelphia,
25 S 19TH ST 2ND FLR,19103,Good Bet Trading LLC,
1234 MARKET STREET 17TH F,19121,Philadelphia,
4715 N 5TH ST,19120-4107,Brick's Management Co,
144 BUCKWALTER RD ,19468,listed as a single family home,
PO BOX 2036,8033,Greg ross or John Ross?,
1600 ARCH ST,19103-2028,"High rise condos; listing by Center City Condos, no owner listed",Just looks like a single family home…
159 N STATE ST,18940,State street holdings? Or J Giordano Securities Group?,"https://fjdefile.phila.gov/efsfjd/zk_xml.docket?case_id=160101186&e=4&p=&r=62&pd=08/18/2016&ps=P&rs=
now has different address listed on their website"
