GEOID10,Latino
42101000100,265
42101000200,118
42101000300,297
42101000401,137
42101000402,29
42101000500,312
42101000600,132
42101000700,293
42101000801,132
42101000803,76
42101000804,289
42101000901,140
42101000902,94
42101001001,56
42101001002,160
42101001101,265
42101001102,22
42101001201,335
42101001202,335
42101001300,272
42101001400,67
42101001500,119
42101001600,98
42101001700,219
42101001800,75
42101001900,286
42101002000,33
42101002100,91
42101002200,99
42101002300,482
42101002400,740
42101002500,364
42101002701,889
42101002702,416
42101002801,2007
42101002802,673
42101002900,832
42101003001,327
42101003002,75
42101003100,314
42101003200,285
42101003300,156
42101003600,198
42101003701,341
42101003702,452
42101003800,184
42101003901,211
42101003902,81
42101004001,599
42101004002,536
42101004101,1083
42101004102,1620
42101004201,249
42101004202,197
42101005000,0
42101005400,88
42101005500,592
42101005600,45
42101006000,228
42101006100,33
42101006200,149
42101006300,383
42101006400,89
42101006500,29
42101006600,198
42101006700,151
42101006900,196
42101007000,9
42101007101,0
42101007102,253
42101007200,110
42101007300,22
42101007400,91
42101007700,119
42101007800,288
42101007900,388
42101008000,297
42101008101,20
42101008102,166
42101008200,19
42101008301,157
42101008302,189
42101008400,145
42101008500,218
42101008601,231
42101008602,80
42101008701,422
42101008702,224
42101008801,172
42101008802,416
42101009000,424
42101009100,104
42101009200,84
42101009300,0
42101009400,71
42101009500,155
42101009600,150
42101009801,90
42101009802,35
42101010000,95
42101010100,538
42101010200,59
42101010300,148
42101010400,88
42101010500,117
42101010600,38
42101010700,42
42101010800,45
42101010900,113
42101011000,72
42101011100,35
42101011200,203
42101011300,0
42101011400,259
42101011500,69
42101011700,64
42101011800,149
42101011900,7
42101012000,103
42101012100,139
42101012201,107
42101012203,22
42101012204,91
42101012500,171
42101013100,23
42101013200,258
42101013300,316
42101013401,56
42101013402,305
42101013500,490
42101013601,32
42101013602,74
42101013700,121
42101013800,99
42101013900,217
42101014000,203
42101014100,272
42101014200,674
42101014300,135
42101014400,1408
42101014500,436
42101014600,211
42101014700,147
42101014800,10
42101014900,190
42101015101,109
42101015102,154
42101015200,76
42101015300,173
42101015600,1352
42101015700,1175
42101015800,229
42101016000,523
42101016100,1495
42101016200,1795
42101016300,2913
42101016400,2286
42101016500,934
42101016600,221
42101016701,36
42101016702,72
42101016800,8
42101016901,4
42101016902,242
42101017000,145
42101017100,109
42101017201,150
42101017202,0
42101017300,71
42101017400,215
42101017500,4282
42101017601,4956
42101017602,3660
42101017701,2391
42101017702,3935
42101017800,2732
42101017900,2363
42101018001,292
42101018002,587
42101018300,88
42101018400,100
42101018800,4817
42101019000,5440
42101019100,5289
42101019200,6320
42101019501,4263
42101019502,2629
42101019700,3926
42101019800,4180
42101019900,2705
42101020000,97
42101020101,168
42101020102,87
42101020200,179
42101020300,206
42101020400,136
42101020500,38
42101020600,90
42101020700,362
42101020800,77
42101020900,137
42101021000,182
42101021100,209
42101021200,94
42101021300,284
42101021400,316
42101021500,94
42101021600,85
42101021700,178
42101021800,287
42101021900,49
42101022000,77
42101023100,51
42101023500,2
42101023600,63
42101023700,189
42101023800,135
42101023900,114
42101024000,235
42101024100,29
42101024200,116
42101024300,51
42101024400,305
42101024500,58
42101024600,33
42101024700,67
42101024800,96
42101024900,3
42101025200,154
42101025300,127
42101025400,48
42101025500,271
42101025600,52
42101025700,564
42101025800,7
42101025900,48
42101026000,187
42101026100,62
42101026200,27
42101026301,0
42101026302,45
42101026400,177
42101026500,96
42101026600,192
42101026700,12
42101026800,280
42101026900,205
42101027000,10
42101027100,221
42101027200,326
42101027300,866
42101027401,456
42101027402,1100
42101027500,556
42101027600,10
42101027700,21
42101027800,278
42101027901,48
42101027902,133
42101028000,55
42101028100,246
42101028200,222
42101028300,329
42101028400,612
42101028500,1041
42101028600,2123
42101028700,1649
42101028800,2379
42101028901,2879
42101028902,4308
42101029000,3944
42101029100,1534
42101029200,1913
42101029300,883
42101029400,1216
42101029800,1697
42101029900,1454
42101030000,1634
42101030100,1347
42101030200,2371
42101030501,1335
42101030502,1497
42101030600,1979
42101030700,623
42101030800,1422
42101030900,1239
42101031000,1443
42101031101,1744
42101031102,945
42101031200,855
42101031300,1860
42101031401,1934
42101031402,1423
42101031501,907
42101031502,368
42101031600,1587
42101031700,1513
42101031800,1107
42101031900,1510
42101032000,1659
42101032100,1288
42101032300,662
42101032500,801
42101032600,1810
42101032900,462
42101033000,1345
42101033101,363
42101033102,296
42101033200,315
42101033300,436
42101033400,529
42101033500,954
42101033600,1095
42101033701,1004
42101033702,233
42101033800,1040
42101033900,406
42101034000,456
42101034100,340
42101034200,202
42101034400,542
42101034501,508
42101034502,804
42101034600,388
42101034701,480
42101034702,249
42101034801,261
42101034802,642
42101034803,435
42101034900,884
42101035100,36
42101035200,141
42101035301,729
42101035302,209
42101035500,407
42101035601,211
42101035602,231
42101035701,143
42101035702,290
42101035800,276
42101035900,318
42101036000,135
42101036100,403
42101036201,296
42101036202,676
42101036203,290
42101036301,99
42101036302,347
42101036303,15
42101036400,86
42101036501,324
42101036502,291
42101036600,124
42101036700,382
42101036900,244
42101037200,303
42101037300,288
42101037500,385
42101037600,301
42101037700,833
42101037800,261
42101037900,159
42101038000,581
42101038100,213
42101038200,699
42101038300,2371
42101038400,58
42101038500,58
42101038600,64
42101038700,106
42101038800,110
42101038900,106
42101039000,2700
42101980000,112
42101980100,10
42101980200,30
42101980300,0
42101980400,0
42101980500,0
42101980600,0
42101980700,0
42101980800,0
42101980900,0
42101989100,372
